symbol,HotScore,TrendScore,regularMarketPrice,regularMarketChangePercent,VolumeSpike,averageDailyVolume3Month,MomentumScore,VolumeScore,VolatilityScore,marketCap
BKD,0.6828382838283829,0.3828382838283828,15.06,3.8620718,0.244963287463953,4462236.0,0.8613861386138614,0.768976897689769,0.3696369636963696,3596610048.0
INTU,0.6854785478547855,0.7953795379537953,292.16,3.7757983,0.1154822406338452,5160629.0,0.834983498349835,0.3531353135313531,0.9504950495049505,79916572672.0
SWK,0.6854785478547856,0.7920792079207921,90.895,3.98695,0.1210296068752017,1673260.0,0.8811881188118812,0.3927392739273927,0.801980198019802,14130132992.0
ACN,0.6902640264026403,0.6270627062706271,144.665,4.2705693,0.1213456135881713,8361390.0,0.8877887788778878,0.396039603960396,0.8910891089108911,88526594048.0
GWRE,0.6907590759075908,0.8481848184818482,137.865,4.936064,0.0984729425798825,1653114.0,0.924092409240924,0.2904290429042904,0.9042904290429042,11478139904.0
CR,0.6925742574257426,0.9735973597359736,222.13,1.8477756,0.1952952288133839,531503.0,0.5511551155115512,0.6798679867986799,0.8217821782178217,12827049984.0
WDAY,0.6985148514851486,0.6897689768976898,132.725,3.7968276,0.1337459805791157,5013160.0,0.8415841584158416,0.4686468646864686,0.8547854785478548,32779554816.0
ZM,0.6986798679867987,0.6468646864686468,87.12,3.5786495,0.1556257869125804,4466824.0,0.8217821782178217,0.5445544554455446,0.7788778877887789,25546391552.0
FNF,0.6995049504950495,0.7227722772277227,50.515,3.9189441,0.1505009101813657,1610668.0,0.8712871287128713,0.5313531353135313,0.6815181518151815,13596492800.0
NICE,0.7014851485148514,0.8844884488448845,89.6283,3.2346277,0.1535083171008562,713590.0,0.768976897689769,0.5412541254125413,0.7722772277227723,5251966464.0
FRMI,0.7070957095709571,0.1188118811881188,6.71,6.1708837,0.3555485742286071,17850793.0,0.943894389438944,0.8745874587458746,0.2937293729372937,4281539072.0
OCTV,0.7108910891089109,0.5511551155115512,16.29,5.0967803,0.1943401519595307,1450781.0,0.9273927392739274,0.6765676567656765,0.4719471947194719,4372851712.0
SKM,0.713036303630363,0.5874587458745875,36.13,2.6420462,0.3932114819811775,2665324.0,0.6831683168316832,0.8976897689768977,0.504950495049505,13869878272.0
ADBE,0.7158415841584159,0.7458745874587459,220.215,3.79177,0.1323590724922761,6267247.0,0.8382838283828383,0.462046204620462,0.9306930693069309,87535460352.0
HTH,0.717986798679868,0.8943894389438944,39.4,3.848189,0.1655641184554444,296888.0,0.8547854785478548,0.5808580858085809,0.6303630363036303,2306089728.0
VZ,0.7212871287128713,0.3003300330033003,45.1401,3.012549,0.4065302423290013,27000070.0,0.7293729372937293,0.9042904290429042,0.5973597359735974,188485140480.0
AVAH,0.734158415841584,0.4488448844884488,9.63,6.057271,0.285248815759166,1997060.0,0.9405940594059404,0.8250825082508251,0.3564356435643564,2096982656.0
RELX,0.736963696369637,0.5775577557755776,33.985,3.4236152,0.2752017421474963,2644093.0,0.8052805280528053,0.8184818481848185,0.5544554455445545,59362824192.0
SRCE,0.7432343234323432,0.99009900990099,85.655,2.975473,0.1997689471026578,130706.0,0.7194719471947195,0.693069306930693,0.7491749174917491,2061620864.0
MANH,0.7567656765676567,0.943894389438944,153.8,4.3207016,0.1356615464897517,655381.0,0.8976897689768977,0.4818481848184818,0.8976897689768977,9099515904.0
IBM,0.7575907590759074,0.6435643564356436,212.365,2.7655513,0.2582949483528519,10995186.0,0.693069306930693,0.7821782178217822,0.8844884488448845,200076378112.0
WEX,0.7739273927392739,0.9504950495049505,174.81,1.9478605,0.4440507382532881,615236.0,0.5742574257425742,0.9108910891089108,0.7953795379537953,6060338176.0
MBLY,0.7767326732673266,0.264026402640264,8.095,8.366807,0.6074122540178534,6666744.0,0.9702970297029704,0.9471947194719472,0.396039603960396,6817496576.0
PLMR,0.7854785478547855,0.9801980198019802,133.43,3.2899833,0.205002478110028,302650.0,0.7755775577557755,0.7095709570957096,0.8382838283828383,3536411392.0
FAF,0.7879537953795379,0.8415841584158416,73.465,6.5327687,0.1617988881151419,952077.0,0.9570957095709572,0.570957095709571,0.8448844884488449,7486083072.0
IRM,0.7882838283828383,0.834983498349835,131.125,5.2790017,0.1597511150029718,1763224.0,0.933993399339934,0.5610561056105611,0.9075907590759076,39012921344.0
TMUS,0.8026402640264027,0.7293729372937293,177.07,3.9021297,0.200277628148578,5472788.0,0.8679867986798679,0.6963696369636964,0.9108910891089108,189937975296.0
EW,0.8052805280528054,0.6204620462046204,86.47,3.1615384,0.5388672742457654,5027713.0,0.7557755775577558,0.933993399339934,0.759075907590759,49789427712.0
OII,0.8145214521452144,0.7755775577557755,49.925,3.9670944,0.3125129148143584,1054990.0,0.8745874587458746,0.8415841584158416,0.6815181518151815,4979781632.0
MNDY,0.8161716171617163,0.768976897689769,75.46,5.1853933,0.2125674414349006,1683127.0,0.9306930693069309,0.7194719471947195,0.8085808580858086,3190004992.0
SGRY,0.8247524752475246,0.5577557755775577,16.51,8.47569,0.3855104162559583,1445673.0,0.9735973597359736,0.8877887788778878,0.5874587458745875,2159312640.0
NOW,0.8346534653465347,0.3894389438943894,96.4451,4.9000397,0.3511888798472006,27406386.0,0.9174917491749176,0.8712871287128713,0.8481848184818482,99710926848.0
SKYW,0.8462046204620463,0.9471947194719472,103.7,7.7514534,0.1889825010130252,426939.0,0.966996699669967,0.6501650165016502,0.9273927392739274,4112770816.0
REXR,0.8513201320132014,0.6105610561056105,38.01,5.64202,0.5063015790404403,2386386.0,0.9372937293729372,0.9207920792079208,0.6996699669966997,8794163200.0
OVV,0.8524752475247525,0.636963696369637,64.03,4.3003736,0.5139752090085432,3554759.0,0.8910891089108911,0.9306930693069309,0.7557755775577558,17993619456.0
